Item Description,Quantity,Unit,Unit Price,Extension
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",13,CY,410,5330
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",13,CY,400,5200
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",4,CY,1473,5892
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",4,CY,550,2200
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, PG64-22 (WT:  10)",7,CY,750,5250
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, PG64-22 (WT:  10)",7,CY,405,2835
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",5,CY,850,4250
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",5,CY,540,2700
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22, AS PER PLAN (WT:  10)",7,CY,750,5250
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22, AS PER PLAN (WT:  10)",7,CY,425,2975
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",9,CY,932,8388
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",9,CY,500,4500
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, PG64-22 (WT:  10)",2,CY,1450,2900
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, PG64-22 (WT:  10)",2,CY,1850,3700
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",4,CY,1100,4400
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",4,CY,600,2400
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22, AS PER PLAN (WT:  10)",8,CY,800,6400
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22, AS PER PLAN (WT:  10)",8,CY,400,3200
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",11,CY,794,8734
