Item Description,Quantity,Unit,Unit Price,Extension
CL2 ASPH SURF 0.38B PG64-22,1903,TON,79.75,151764.25
CL2 ASPH SURF 0.38B PG64-22,1903,TON,79.75,151764.25
CL2 ASPH SURF 0.38B PG64-22,1903,TON,79.75,151764.25
CL2 ASPH SURF 0.38B PG64-22,1903,TON,79.75,151764.25
CL2 ASPH SURF 0.38B PG64-22,1903,TON,79.75,151764.25
CL2 ASPH BASE 1.00D PG64-22,825,TON,66.96,55242
CL3 ASPH SURF 0.38B PG64-22,610,TON,77.37,47195.7
CL4 ASPH SURF 0.38A PG76-22,3030,TON,79.45,240733.5
CL4 ASPH SURF 0.38A PG76-22,3030,TON,82.01,248490.3
CL2 ASPH SURF 0.38B PG64-22,4650,TON,89,413850
CL2 ASPH BASE 1.00D PG64-22,2820,TON,70.75,199515
CL2 ASPH SURF 0.38B PG64-22,4865,TON,79,384335
CL3 SMA SURF 0.38A PG76-22,15000,TON,106.78,1601700
CL2 ASPH SURF 0.38D PG64-22 (REVISED:  4-19-11);(REVISED:  4-25-11),2735,TON,75.08,205343.8
CL3 ASPH SURF 0.38B PG64-22 (ADDED:  4-19-11),1045,TON,75.93,79346.85
CL3 ASPH SURF 0.38B PG64-22,3125,TON,55.5,173437.5
CL3 ASPH SURF 0.38B PG64-22,3125,TON,57,178125
CL3 ASPH SURF 0.38B PG64-22,3125,TON,65.91,205968.75
CL3 ASPH SURF 0.38B PG64-22,3125,TON,66.5,207812.5
CL3 ASPH SURF 0.38A PG64-22,1705,TON,59,100595
CL3 ASPH SURF 0.38A PG64-22,1705,TON,60,102300
CL3 ASPH SURF 0.38A PG64-22,1705,TON,71.6,122078
CL3 ASPH SURF 0.38A PG64-22,1705,TON,66.5,113382.5
CL3 ASPH BASE 1.00D PG64-22,615,TON,77.5,47662.5
CL3 SMA SURF 0.38A PG76-22,6538,TON,115,751870
CL2 ASPH SURF 0.38D PG64-22 MP 0.000-3.960 MP 0.000-3.960,4240,TON,72,305280
CL3 ASPH SURF 0.38B PG64-22 MP 3.960-4.241 MP 3.960-4.241,520,TON,72,37440
CL3 ASPH BASE 1.00D PG64-22,220,TON,64,14080
CL3 ASPH BASE 1.00D PG64-22,220,TON,75,16500
CL3 ASPH BASE 1.00D PG64-22,220,TON,55.5,12210
CL3 ASPH BASE 1.00D PG64-22,220,TON,77,16940
CL3 ASPH SURF 0.38B PG64-22,3200,TON,56,179200
CL3 ASPH SURF 0.38B PG64-22,3200,TON,57,182400
CL3 ASPH SURF 0.38B PG64-22,3200,TON,58.5,187200
CL3 ASPH SURF 0.38B PG64-22,3200,TON,61,195200
CL3 ASPH BASE 1.00D PG64-22,132,TON,44,5808
CL3 ASPH BASE 1.00D PG64-22,132,TON,50,6600
CL3 ASPH BASE 1.00D PG64-22,132,TON,95,12540
CL3 ASPH SURF 0.38D PG64-22,2450,TON,54.25,132912.5
CL3 ASPH SURF 0.38D PG64-22,2450,TON,55,134750
CL3 ASPH SURF 0.38D PG64-22,2450,TON,56.5,138425
CL2 ASPH BIND 0.50D PG64-22,1110,TON,80.1,88911
CL3 ASPH BASE 1.00D PG64-22,450,TON,75,33750
CL3 ASPH BASE 1.00D PG64-22,450,TON,48,21600
CL3 ASPH BASE 1.00D PG64-22,450,TON,75,33750
CL3 ASPH BASE 1.00D PG64-22,450,TON,50,22500
CL3 ASPH SURF 0.38A PG76-22,10000,TON,62,620000
CL3 ASPH SURF 0.38A PG76-22,10000,TON,61,610000
CL3 ASPH SURF 0.38A PG76-22,10000,TON,70,700000
CL3 ASPH SURF 0.38A PG76-22,10000,TON,63,630000
CL3 ASPH SURF 0.38B PG64-22,5280,TON,86,454080
